,postId,adjusted_job_title_similarity,adjusted_job_industry_similarity,adjusted_company_size,adjusted_job_sector,adjusted_company_culture,adjusted_work_model,adjusted_salary_expectation,adjusted_role_type,descriptions_similarity_to_resume_norm,adjusted_distance_score,pay_average_norm
106,79080867,0.7681298,0.3721153,-1.5,1,0.6053297,1,0.38177094,0.6666666666666667,0.45212513,0.5264213239339337,0.4475606844539122
107,79097301,0.25385898,0.3721153,-1.5,1,0.30650043,1,0.5697772,0.6666666666666667,0.29902995,0.5264213239339337,0.4475606844539122
108,79099802,0.4127809,0.3721153,-1.5,1,0.5262968,1,0.22887349,0.6666666666666667,0.44954985,0.5264213239339337,0.4475606844539122
109,79112426,0.19203255,0.3721153,-1.5,1,0.60790753,0,0.3213567,0.6666666666666667,0.62805784,0.5264213239339337,0.906183316924254
110,79113682,0.70711094,0.3721153,-1.5,1,0.5428822,1,0.33615136,0.6666666666666667,0.8729442,0.5264213239339337,0.4475606844539122
111,79116845,0.8775299,0.3721153,-1.5,1,0.8092565,1,0.9627994,0.6666666666666667,0.67855865,0.5264213239339337,0.4475606844539122
112,79119641,0.34690928,0.3721153,-1.5,1,0.66587013,0,0.3155428,0.6666666666666667,0.49010473,0.5264213239339337,0.4475606844539122
113,79124914,0.7834499,0.3721153,-1.5,1,0.4345742,1,0.46915722,0.6666666666666667,0.770251,0.5264213239339337,0.4475606844539122
114,79162185,0.7681298,0.3721153,-1.5,1,0.7723771,0,0.26382607,0.6666666666666667,0.5621368,0.5264213239339337,0.4475606844539122
115,79162196,0.80685604,0.3721153,-1.5,1,0.8812643,0,0.33829275,0.6666666666666667,0.017314196,0.5264213239339337,0.4475606844539122
116,79189887,0.79763806,0.3721153,-1.5,1,0.85683566,0,0.57675177,0.6666666666666667,0.5659153,0.4939908202858536,0.4475606844539122
117,79201575,0.7435193,0.3721153,-1.5,1,0.79747874,1,0.47598922,0.6666666666666667,0.33641756,0.5264213239339337,0.4475606844539122
